timestamp_seconds,sensor_time_seconds,measurement,unit,value,raw
2.571,9042.128,velocity_cmps,cmps,36.4,"9042.128,""cmps"",36.4"
2.583,9042.187,distance_cm,cm,111.7,"9042.187,""cm"",111.7"
2.663,9042.220,velocity_cmps,cmps,-21.2,"9042.220,""cmps"",-21.2"
2.675,9042.279,distance_cm,cm,111.3,"9042.279,""cm"",111.3"
2.762,9042.312,velocity_cmps,cmps,-39.4,"9042.312,""cmps"",-39.4"
2.776,9042.378,distance_cm,cm,59.7,"9042.378,""cm"",59.7"
2.854,9042.410,velocity_cmps,cmps,-51.6,"9042.410,""cmps"",-51.6"
2.868,9042.470,distance_cm,cm,59.7,"9042.470,""cm"",59.7"
2.946,9042.502,velocity_cmps,cmps,-75.8,"9042.502,""cmps"",-75.8"
2.956,9042.562,distance_cm,cm,59.7,"9042.562,""cm"",59.7"
3.037,9042.594,velocity_cmps,cmps,-57.6,"9042.594,""cmps"",-57.6"
3.049,9042.653,distance_cm,cm,451.4,"9042.653,""cm"",451.4"
3.414,9042.970,velocity_cmps,cmps,51.6,"9042.970,""cmps"",51.6"
3.424,9043.030,distance_cm,cm,451.3,"9043.030,""cm"",451.3"
3.506,9043.063,velocity_cmps,cmps,42.5,"9043.063,""cmps"",42.5"
3.516,9043.122,distance_cm,cm,451.4,"9043.122,""cm"",451.4"
3.601,9043.155,velocity_cmps,cmps,30.3,"9043.155,""cmps"",30.3"
3.610,9043.216,distance_cm,cm,451.4,"9043.216,""cm"",451.4"
3.690,9043.248,velocity_cmps,cmps,6.1,"9043.248,""cmps"",6.1"
3.701,9043.307,distance_cm,cm,59.7,"9043.307,""cm"",59.7"
3.781,9043.339,velocity_cmps,cmps,-12.1,"9043.339,""cmps"",-12.1"
3.793,9043.398,distance_cm,cm,111.6,"9043.398,""cm"",111.6"
3.877,9043.431,velocity_cmps,cmps,-42.5,"9043.431,""cmps"",-42.5"
3.889,9043.495,distance_cm,cm,112.0,"9043.495,""cm"",112.0"
3.970,9043.597,velocity_cmps,cmps,-39.4,"9043.597,""cmps"",-39.4"
3.981,9043.586,distance_cm,cm,111.7,"9043.586,""cm"",111.7"
4.062,9043.619,velocity_cmps,cmps,-12.1,"9043.619,""cmps"",-12.1"
4.072,9043.678,distance_cm,cm,112.1,"9043.678,""cm"",112.1"
4.153,9043.711,velocity_cmps,cmps,18.2,"9043.711,""cmps"",18.2"
4.165,9043.770,distance_cm,cm,112.0,"9043.770,""cm"",112.0"
4.245,9043.803,velocity_cmps,cmps,45.5,"9043.803,""cmps"",45.5"
4.257,9043.862,distance_cm,cm,112.1,"9043.862,""cm"",112.1"
4.352,9043.895,velocity_cmps,cmps,36.4,"9043.895,""cmps"",36.4"
4.363,9043.970,distance_cm,cm,111.5,"9043.970,""cm"",111.5"
4.446,9044.002,velocity_cmps,cmps,-27.3,"9044.002,""cmps"",-27.3"
4.456,9044.062,distance_cm,cm,68.1,"9044.062,""cm"",68.1"
4.544,9044.095,velocity_cmps,cmps,-51.6,"9044.095,""cmps"",-51.6"
4.555,9044.160,distance_cm,cm,111.1,"9044.160,""cm"",111.1"
4.635,9044.193,velocity_cmps,cmps,-69.8,"9044.193,""cmps"",-69.8"
4.647,9044.253,distance_cm,cm,111.3,"9044.253,""cm"",111.3"
4.728,9044.285,velocity_cmps,cmps,-54.6,"9044.285,""cmps"",-54.6"
4.738,9044.345,distance_cm,cm,59.7,"9044.345,""cm"",59.7"
4.820,9044.377,velocity_cmps,cmps,-36.4,"9044.377,""cmps"",-36.4"
4.830,9044.436,distance_cm,cm,111.4,"9044.436,""cm"",111.4"
4.982,9044.540,velocity_cmps,cmps,30.3,"9044.540,""cmps"",30.3"
4.994,9044.599,distance_cm,cm,459.9,"9044.599,""cm"",459.9"
5.076,9044.632,velocity_cmps,cmps,48.5,"9044.632,""cmps"",48.5"
5.085,9044.691,distance_cm,cm,459.9,"9044.691,""cm"",459.9"
5.167,9044.724,velocity_cmps,cmps,48.5,"9044.724,""cmps"",48.5"
5.177,9044.783,distance_cm,cm,451.4,"9044.783,""cm"",451.4"
5.259,9044.816,velocity_cmps,cmps,48.5,"9044.816,""cmps"",48.5"
5.269,9044.876,distance_cm,cm,111.6,"9044.876,""cm"",111.6"
5.350,9044.908,velocity_cmps,cmps,12.1,"9044.908,""cmps"",12.1"
5.364,9044.967,distance_cm,cm,112.1,"9044.967,""cm"",112.1"
5.442,9045,velocity_cmps,cmps,-33.4,"9045,""cmps"",-33.4"
5.452,9045.060,distance_cm,cm,111.7,"9045.060,""cm"",111.7"
